               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10383,            0.058835,            0.030166,             0.55414,             0.10938,            0.046357,            0.011944,            0.080249,            0.049301,            0.020529,            0.070341,           0.0032955,           0.0032955
                   1,            0.078574,            0.049919,            0.017492,              0.6773,             0.26654,             0.18973,            0.073569,            0.065538,            0.034814,            0.016646,             0.04021,           0.0064975,           0.0064975
                   2,            0.074724,            0.040941,            0.015522,             0.72704,             0.27114,             0.25411,              0.1094,            0.064952,            0.030637,            0.015875,           0.0099464,           0.0095676,           0.0095676
                   3,            0.066817,            0.040022,            0.015551,              0.7226,             0.29688,             0.29053,            0.091558,            0.055659,            0.029884,            0.014831,            0.009406,            0.009406,            0.009406
                   4,            0.059462,            0.036629,            0.013496,             0.85704,             0.33513,             0.51916,             0.22566,            0.049786,            0.030186,              0.0132,            0.009406,            0.009406,            0.009406
                   5,            0.052355,             0.03848,            0.012545,             0.55991,             0.72585,             0.69906,             0.24492,            0.046717,            0.029409,            0.011092,            0.009208,            0.009208,            0.009208
                   6,            0.049296,            0.034113,            0.010114,             0.55542,               0.696,             0.67275,             0.30723,            0.045508,            0.028772,           0.0084667,             0.00901,             0.00901,             0.00901
                   7,            0.047212,            0.036294,           0.0077173,             0.80444,             0.78231,              0.8457,             0.41019,             0.03708,            0.028001,           0.0062322,            0.008812,            0.008812,            0.008812
                   8,            0.044938,            0.033349,           0.0062639,             0.69381,             0.77922,             0.74956,             0.37647,            0.040375,            0.027538,           0.0052813,            0.008614,            0.008614,            0.008614
                   9,            0.042796,            0.033942,           0.0053613,             0.92062,             0.79515,             0.88789,             0.45256,            0.036091,            0.027227,           0.0048626,            0.008416,            0.008416,            0.008416
                  10,             0.04099,            0.032464,           0.0044787,             0.77978,             0.81857,             0.85102,             0.47706,            0.034902,            0.027292,           0.0037951,            0.008218,            0.008218,            0.008218
                  11,            0.039953,             0.03127,           0.0043292,             0.87037,             0.86712,             0.89575,             0.49764,            0.032435,            0.026921,            0.003784,             0.00802,             0.00802,             0.00802
